title,author,description,link,platforms,pg,example_download_link
Parsnip,Bun & Birb,A hungry rabbit quests for cake,https://bunbirb.itch.io/parsnip,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Blades in the Dark,John Harper,Daring scoundrels in a haunted city,https://johnharper.itch.io/blades-in-the-dark,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
PARANOIHELL,lum,It's a long walk home...,https://lum-scum.itch.io/paranoihell,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Tiny Adventure Pack Plus,Vryell,Asset pack for game development.,https://vryell.itch.io/tiny-adventure-pack-plus,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Night in the Woods,Finji,"At the end of everything, hold onto anything.",https://finji.itch.io/night-in-the-woods,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Troika! Numinous Edition,Melsonian Arts Council,The Other world's favourite fantasy RPG,https://melsonian-arts-council.itch.io/troika-numinous-edition,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
plant daddy,brady soglin,grow plants in your sunny apartment!,https://overfull.itch.io/plantdaddy,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
One Page Lore: Fantasy Folk,Jesse Galena - RexiconJesse,The details that make folk in fantasy TTRPGs unique & fun to play without racist undertones condensed into one page each,https://rexiconjesse.itch.io/one-page-lore-fantasy-folk,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Mon-cuties for All,Reine Works,"Starting a new chapter in your life, you move to a farm and enter the world of monster farming!",https://reineworks.itch.io/moncuties-for-all,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
"Dr. Langeskov, The Tiger, And The Terribly Cursed Emerald: A Whirlwind Heist",Crows Crows Crows,A 15 minute experimental heist game,https://crowscrowscrows.itch.io/dr-langeskov-the-tiger-and-the-terribly-cursed-emerald-a-whirlwind-heist,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Cuckoo Castle,Richard Lems,A mini-metroidvania.,https://rilem.itch.io/cuckoo-castle,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Corvid Court,Gila RPGs,Birds of a feather kill together.,https://gilarpgs.itch.io/corvid-court,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Akurra,Jason Newman (Gojirra),A block pushing puzzle adventure by Jason Newman.,https://gojirra.itch.io/akurra,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Hero Too,ThatAceGal,A one-player journaling RPG about messy trans narratives and superheroes,https://thatacegal.itch.io/hero-too,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Blade-Kissed,CureWiki,You and your rival are dueling for the first time. Fight. Remember.,https://curewiki.itch.io/blade-kissed,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
CanariPack 8BIT TopDown,Canari Games,"8/16BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!",https://canarigames.itch.io/canaripack-8bit-topdown,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
"Don't Take It Personally, I Just Don't Like You: The Camping Trip",Christian DeCoster,the lo-fi anime dating sim to cry to,https://lockerkid.itch.io/dont-take-it-personally-i-just-dont-like-you,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
STRAWBERRY CUBES,loren schmidt,Fossil moth slideshow,https://lorenschmidt.itch.io/strawberrycubes,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dragonhearts,Fractal Dragon,A GMless TTRPG about the clash of over-sized personalities between shapeshifters who can assume human or dragon form,https://fractal-dragon.itch.io/dragonhearts,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dead Friend: A Game of Necromancy,Lucian Kahn (@oh_theogony),"""Most Innovative"" nominee for the 2019 IGDN Indie Groundbreaker Awards!",https://necromancy.itch.io/dead-friend-a-game-of-necromancy,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Testimony of Trixie Glimmer Smith,Digital Poppy,Trixie Glimmer Smith finds a haunted book. Hijinks ensue.,https://digital-poppy.itch.io/trixie,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
KeyCars,Kenney,Press any key to join the battle!,https://kenney.itch.io/keycars/download/HPjljcXfW5Gx01M1dqDjNJg6FuWBKL5Vu0u3oXVs,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Synth Convergence,LunarShadow Designs,Missions from The Sprawl,https://lunarshadow.itch.io/synth-convergence,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Gravity Typist,samperson,"Every key you press gets added to the pile, making your screen unusable.",https://samperson.itch.io/typist,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
reky,beyondthosehills,Minimalistic logic challenges,https://beyondthosehills.itch.io/reky,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Pet the Pup at the Party,Will Herring,you are at a house party. you do not know anybody. the clock is ticking... can you find the pup at the party??,https://grey2scale.itch.io/pet-the-pup,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Tonight We Riot,Means Interactive,A revolutionary crowd-based retro brawler,https://meansinteractive.itch.io/tonight-we-riot,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
stop,daichifob,stop time to solve puzzles,https://daichifob.itch.io/stop,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
My Way,ThatAceGal,A game about pro wrestling and pushing yourself too far,https://thatacegal.itch.io/my-way,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Daemon Detective Gaiden II,Yal,"Jump, fight and explore together!",https://yaru.itch.io/daemon-detective-gaiden-2,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Get Your Game On!,ThatAceGal,A Firebrands RPG about card games,https://thatacegal.itch.io/get-your-game-on,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Chalice,Monkey's Paw Games,A game of Arthurian knights searching for the Holy Grail.,https://monkeys-paw-games.itch.io/chalice,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Vincent: The Secret of Myers | 文森：梅尔斯的秘密,dino999z,,https://dino999z.itch.io/vincent-the-secret-of-myers,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
A Short Hike,adamgryu,a little exploration game about hiking up a mountain,https://adamgryu.itch.io/a-short-hike/download/8WpFP5cgbBtaqEkQMffD8sd5uBHQTV6Sm1OTb6G4,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Savage Blood,babblegumsam,a fantasy game of revenge and colonial ultraviolence,https://babblegumsam.itch.io/savage-blood,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Overland,Finji,A squad-based survival strategy game with procedurally generated levels set in post-apocalyptic North America.,https://finji.itch.io/overland,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Cosmic Rochambo,dean_sick,Ram people... in spaaaaace,https://dean-sick.itch.io/cosmic-rochambo,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
DEATH OF A HERO,babblegumsam,A conversational rpg about an adventuring party grieving a dead member.,https://babblegumsam.itch.io/death-of-a-hero,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Desktop Meadow,samperson,Your computer is a beautiful garden,https://samperson.itch.io/meadow,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Three Lesbians in a Barrow,Digital Poppy,Tabby and her friends get trapped in a barrow. Hijinks ensue.,https://digital-poppy.itch.io/lesbians,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Codemancer,Important Little Games,Programming is Magic,https://importantlittlegames.itch.io/codemancer-ch-1,"Windows, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
"Arigatou, Ningen-san!",Michelle,An interactive story about squishing animals,https://michellema.itch.io/arigatou-ningen-san,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Borb the Birb,Ludonaut,borb loves u,https://ludonaut.itch.io/borb-the-birb,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
EGO,Sandy Pug Games,A game about learning to love yourself,https://sandypuggames.itch.io/ego,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Changeling,Steamberry Studio,Mystery and romance ensue when our MC is unwittingly drawn into a dangerous paranormal community,https://steamberry.itch.io/changeling,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
STOWAWAY,DirigoGames,Cosmic horror,https://dirigogames.itch.io/stowaway,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
OneShot,futurecat,A surreal puzzle adventure game with unique mechanics / capabilities.,https://futurecat.itch.io/oneshot,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Plunge,SpookyBunsGames,Turn-Based Dungeon Plunger!,https://spookybunsgames.itch.io/plunge,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
ECH0,Role Over Play Dead,Peace. Kids playing in mech wreckage. A ghost. One last journey to find a final resting place.,https://roleoverplaydead.itch.io/ech0,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Dorfromantik,Toukana,"A soft-strategy village building game, pure ""Dorfromantik""!",https://toukana.itch.io/dorfromantik,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
songs and flowers,cowboy starshine,a cute dating sim with cute boys,https://cowboy-starshine.itch.io/songs-and-flowers,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Missing Locksmith,Elle Osili-Wood,Can you solve a heist in this alternate reality game?,https://elleosiliwood.itch.io/the-missing-locksmith,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Peckin' Pixels,Waving Walrus Games,Cute pixel-art egg farm simulator.,https://wavingwalrus.itch.io/peckin-pixels,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Subway Runners,Gem Room Games,A tabletop RPG of gig-economy metro workers clearing up monsters in a subway that dug too deep.,https://gemroomgames.itch.io/subwayrunners,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Bonbon,Aetheric Games,"A short horror story, about your childhood.",https://aethericgames.itch.io/bonbon,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
"Dominique Pamplemousse and Dominique Pamplemousse in ""Combinatorial Explosion!""",Squinky,A disorienting interactive musical romp with your favourite genderqueer private detective(s).,https://squinky.itch.io/dompam2,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Brinkwood - The Blood of Tyrants - Playtest Kit,ErikTheBearik,Robin Hood vs. Vampires. Mask up. Spill blood. Drink the Rich.,https://erikthebearik.itch.io/brinkwood,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Cube Rampage,Kronbits,Hit the cube to get all the items on the levels,https://kronbits.itch.io/cube-rampage,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
EXTREME MEATPUNKS FOREVER,Heather Flowers,Gay disaster mech pilots killing fascists,https://hthr.itch.io/extreme-meatpunks-forever,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Order A Pizza: A Visual Novel,Rocket Adrift,A visual novel where you play as a divorced dad trying to order the perfect pizza.,https://rocketadrift.itch.io/order-a-pizza,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Crystal Story: Awakening,Bred Frown,An Action-RPG with retro-style graphics and fast-paced action!,https://bredfrown.itch.io/crystal-story,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Wretched,Chris Bissette,Survive alone in the black,https://loottheroom.itch.io/wretched,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Tampalasan ALPHA,John Erwin,"a spear-and-sorcery hack of Knave, Best Left Buried, and UVG",https://mister-erwin.itch.io/tampalasan-alpha,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Kenney Game Assets 1,Kenney,"20,000+ game assets for use in your games!",https://kenney.itch.io/kenney-game-assets-1,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Social Interaction Trainer,googumproduce,Learn how to conduct yourself in social situations.,https://googumproduce.itch.io/sit,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Blind Men,Man-Eater Games,A boys' love visual novel about a supervillain and the spies that try to stop him.,https://maneatergames.itch.io/blind-men,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Destined,Sandy Pug Games,A 5 page luxury TTRPG experience,https://sandypuggames.itch.io/destined,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Spoken Magic,Dylan Grinder,"A GMless, prompt-based story game about the spells we cast together, and the words we use to weave our magic.",https://anarisis.itch.io/spoken-magic,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Super Hexagon,Terry Cavanagh,"A minimal action game by Terry Cavanagh, with music by Chipzel.",https://terrycavanagh.itch.io/super-hexagon,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
"Dominique Pamplemousse in ""It's All Over Once The Fat Lady Sings!""",Squinky,A stop motion musical detective game about gender and the economy.,https://squinky.itch.io/pamplemousse,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
DragonRuby Game Toolkit,DragonRuby,"An intuitive 2D game engine. Fast, cross-platform, tiny, hot loaded.",https://dragonruby.itch.io/dragonruby-gtk,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Life: the game of chance,Tim Krief,"25 diferent life paths, choose carefully.",https://timkrief.itch.io/life-the-game-of-chance,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Inkanians,Kronbits,"Puzzle game on you control a squared-incas moving boxes, slide blocks, teleport...",https://kronbits.itch.io/inkanians,"Windows, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Sanguine Sanctum,Modus Interactive,It desires more. Feed It. Nourish It.,https://modus-interactive.itch.io/sanguine-sanctum,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Corrupted Kingdom,Jesse Galena - RexiconJesse,"A collection of nine connected, horror-fantasy short stories.",https://rexiconjesse.itch.io/corrupted-kingdom,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Minit,Devolver Digital,Minit is a peculiar little adventure played sixty seconds at a time.,https://devolverdigital.itch.io/minit/download/ZXQqa7osAHcxIo48EK_DVV_cwl_4uGNqLbGQtB8Y,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Starlight Shores,TidalBlossoms,Wish on shooting stars while you enjoy a weekend getaway at the beach!,https://tidalblossoms.itch.io/starlight-shores,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Splodey Vaders,Scared Square Games,An explosive twist on an arcade classic.,https://scared-square-games.itch.io/splodey-vaders,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
DYO,Josia Roncancio,Two Minotaurs trapped in a maze.,https://josia-roncancio.itch.io/dyo,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Kubyx,Kronbits,Minimal Super Meat Boy clone of one-screen levels,https://kronbits.itch.io/kubyx,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Fortune-499,apthomson,,https://apthomson.itch.io/fortune-499/download/q7yNN5JDi1TQm2rd6ZieJ2LFl5rGsXOf3bPi3pc1,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Spooky Ghosts Dot Com,zertuk,"Ruby the ghost hunter has a tough gig this Halloween. Explore the mansion, battle spooky bosses, and rescue lost cats!",https://zertuk.itch.io/spooky-ghosts-dot-com,"Windows, Linux",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
EAT GIRL,tesselode,Surreal top-down dot-eating game,https://tesselode.itch.io/eatgirl,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Hot Pot Panic,keanerie,"Cook, eat, converse! A game about eating hot pot and awkward conversations.",https://keanerie.itch.io/hot-pot-panic,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Oikospiel Book I,DK,A dog opera in five acts,https://dkoikos.itch.io/oikospiel,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Curse of the Crescent Isle DX,1amowery,Save your kingdom!,https://1amowery.itch.io/curse-of-the-crescent-isle-dx,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
The Ground Itself,Everest Pipkin,A tabletop world-building game about places over time,https://everestpipkin.itch.io/the-ground-itself,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Destiny Fails Us: A New Life,Strawberry Dagger Studio,It's time to start a new life.,https://sbds.itch.io/dfu-otome,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
No Delivery,oates,An employee training video gone wrong.,https://horror-n-oates.itch.io/no-delivery,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Believe,breathingstories,"When you can do nothing else, believe.",https://breathingstories.itch.io/believe,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
A Kishoutenketsu in the countryside,Rémi Töötätä,"Explore the outdoors, face four puzzles and live great adventures.",https://remi-tootata.itch.io/a-kishoutenketsu-in-the-countryside,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Catlateral Damage,Manekoware,The premier first-person destructive house cat simulator!,https://manekoware.itch.io/catlateral-damage,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
An anthology of cozy RPGs,Ludipe,Seven tiny unconventional RPGs to enjoy with friends,https://ludipe.itch.io/an-anthology-of-cozy-rpgs,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
CanariPack 1BIT TopDown,Canari Games,"1BIT 16x16 Tileset, Animated Sprites, Music and SFX for your game project!",https://canarigames.itch.io/canaripack-1bit-topdown,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Rebop Blasters,dean_sick,An overpowered platform fighter with destructible terrain and a procedurally generated jazz soundtrack.,https://dean-sick.itch.io/rebop-blasters,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
FONT,Narrative Dynamics,An RPG of hope and loss,https://narrativedynamics.itch.io/font,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Ring of Fire Prologue,Far Few Giants,Serial thriller told through a search bar,https://farfewgiants.itch.io/ring-of-fire,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
