title,author,description,link,platform(s),pg,example_download_link
Parallax,Toasty Games,The Interdimensional Puzzle Platformer,https://toastygames.itch.io/parallax,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
"Dominique Pamplemousse in ""It's All Over Once The Fat Lady Sings!""",Squinky,A stop motion musical detective game about gender and the economy.,https://squinky.itch.io/pamplemousse,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Stophat,Problematicar,An unconventional top-down.,https://problematicar.itch.io/stophat,"Windows, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
EarthTongue Soundtrack,D. W. O'Boyle,Chip Tunes for bugs and fungus,https://dwoboyle.itch.io/earthtongue-soundtrack,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Three Red Hearts - Prepare to Dev Edition,Tallbeard Studios,24 seamless Chiptune loops to be used in all genres of games,https://tallbeard.itch.io/three-red-hearts-prepare-to-dev,"Windows, Linux, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Secret of Tremendous Corporation,dos,Discover the legendary Secret™ and save the game industry! (Global Game Jam 2015),https://dos.itch.io/the-secret-of-tremendous-corporation,"Windows, Linux",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Astæria,prophet goddess,first-person poetry visualizer,https://prophetgoddess.itch.io/astaeria,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Vilmonic,bludgeonsoft,Artificial life and genetics evolution simulator sandbox game.,https://bludgeonsoft.itch.io/vilmonic,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Rasternauts,mostlyfictional,"Run, jump and shoot your way through over 40 levels to hold back the vector invasion and save all of raster kind!",https://mostlyfictional.itch.io/rasternauts,Windows,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Super Win the Game,J. Kyle Pittman,A retro-core explosion of exploration and platforming action!!,https://piratehearts.itch.io/super-win-the-game,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Guilt and the Shadow,oophok,A short story exploration puzzle platformer inspired by the old point and click games.,https://oophok.itch.io/tgats,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
STRAWBERRY CUBES,loren schmidt,Fossil moth slideshow,https://lorenschmidt.itch.io/strawberrycubes,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Super Hexagon,Terry Cavanagh,"A minimal action game by Terry Cavanagh, with music by Chipzel.",https://terrycavanagh.itch.io/super-hexagon,"Windows, Linux, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Subterrarium,slimefriend,"A digging, jetpacking, plant-watering puzzle game.",https://slimefriend.itch.io/subterrarium,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Reproduction Man,david kilmer,A 2D puzzler where you help some very simple-minded sperm get to the egg,https://dkilmer.itch.io/reproduction-man,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
WaveCrash!!,Flyover Games,Head-to-head puzzle brawling action!!,https://flyover-games.itch.io/wavecrash,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Pass the Buck: A Game of Corporate Responsibility Management,carolmertz,A Print-&-Play satirical card game for 3-5 players,https://carolmertz.itch.io/pass-the-buck,"Windows, Linux, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Curse of the Crescent Isle DX,1amowery,Save your kingdom!,https://1amowery.itch.io/curse-of-the-crescent-isle-dx,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Cuckoo Castle,Richard Lems,A mini-metroidvania.,https://rilem.itch.io/cuckoo-castle,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Lily Seed,peppertsuki,A ghost gives you a tiny seed. How will you take care of it?,https://colleenadia.itch.io/lily-seed,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Catlateral Damage,Manekoware,The premier first-person destructive house cat simulator!,https://manekoware.itch.io/catlateral-damage,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Social Interaction Trainer,googumproduce,Learn how to conduct yourself in social situations.,https://googumproduce.itch.io/sit,"Windows, Linux, macOS, Android",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Gladiabots,GFX47,AI COMBAT ARENA,https://gfx47.itch.io/gladiabots,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Wheels of Aurelia,Santa Ragione,A narrative racing game set in the roaring Italian 70s,https://santaragione.itch.io/wheelsofaurelia,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Haque,Super∴Try,/hak/ Fight cute monsters! Avoid death! Save the Game,https://supertry.itch.io/haque,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Borb the Birb,Ludonaut,borb loves u,https://ludonaut.itch.io/borb-the-birb,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
"Dr. Langeskov, The Tiger, And The Terribly Cursed Emerald: A Whirlwind Heist",Crows Crows Crows,A 15 minute experimental heist game,https://crowscrowscrows.itch.io/dr-langeskov-the-tiger-and-the-terribly-cursed-emerald-a-whirlwind-heist,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
VIDEGOAME,Eric Koziol,Find Player's Love.,https://revenantkioku.itch.io/videgoame,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Raik,Harry Josephine Giles,a Scots fantasia about anxiety,https://harryjosiegiles.itch.io/raik,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Depths of Fear :: Knossos Soundtrack,DirigoGames,Soundtrack to the game 'Depths of Fear :: Knossos',https://dirigogames.itch.io/depths-of-fear-knossos-soundtrack,,2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
The Spark of One,Princemarioone,A game for Dr. Martin Luther King Jr.,https://princemarioone.itch.io/thesparkofone,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
On Rusty Trails,Black Pants Studio,The new dualism in platforming,https://blackpants.itch.io/on-rusty-trails,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
DYO,Josia Roncancio,Two Minotaurs trapped in a maze.,https://josia-roncancio.itch.io/dyo,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Interactivity: The Interactive Experience,Aetheric Games,Please enjoy this interactive exhibition. But not The Button.,https://aethericgames.itch.io/interactivity-the-interactive-experience,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Apollo Visualizer Kit,Kichex,Tool for music visualizations without writing code,https://kichex.itch.io/apollovisualizer,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Blockara,Haunted Bees Productions,Head-to-head competitive puzzle action!,https://hauntedbees.itch.io/blockara,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Space Station Architect,AL Wyvern,Space Station Map Generator and Editor,https://wyvernindustries.itch.io/stationgen,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Dusk Child,Sophie Houlden,"You have been drawn to a mysterious place, what secrets does it hold?",https://sophieh.itch.io/dusk-child,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
BRKÖUT,Fisher,Discover a terrible secret hidden inside your computer.,https://smugames.itch.io/brkout,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Wondee,Garret Polk,"Race down lines while being chased by a wall of fire, eating Dots and evading Pointies.",https://garretpolk.itch.io/wondee,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
A Game of Changes,Bit Outside the Box,,https://nunodonato.itch.io/a-game-of-changes,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Thrunt,Mugs Games,A super-tricky time-attack thrust-em-up,https://mugsgames.itch.io/thrunt,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
STOWAWAY,DirigoGames,Cosmic horror,https://dirigogames.itch.io/stowaway,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Thou Shalt Be Brave,Anil Demir,Mini-RPG in 64x64,https://nettleflap.itch.io/thou-shalt-be-brave,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Overland,Finji,A squad-based survival strategy game with procedurally generated levels set in post-apocalyptic North America.,https://finji.itch.io/overland,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
IGEO,Thought Reactor,Colorful puzzler where you eliminate blocks by pushing them together.,https://thoughtreactor.itch.io/igeo,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
STARDROP,Joure,STARDROP - Salvage and Rescue Operations,https://joure.itch.io/stardrop,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Brick Breaker Remix,whilefun,A remix of the classic game you know and love,https://whilefun.itch.io/brick-breaker-remix,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Multi Platformer Tileset,Shackhal,Various 2D side-scrolling environments on pixel art for your projects!,https://shackhal.itch.io/multi-platformer-tileset,,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Crystal Control II,Virtually Competent,Crystal Control II is the expanded sequel to our original competitive bullet hell shoot 'em up for two players!,https://virtually-competent.itch.io/crystal-control-ii,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Intelligent Design: An Evolutionary Sandbox,Pill Bug Interactive,God game with fully simulated genetics and evolution.,https://pillbuginteractive.itch.io/intelligent-design,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Realm of the Ghost King,Mantis-Eye Labs,A quick-play roguelike,https://mantiseyelabs.itch.io/rotgk,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Locomancer,Selkcip,Model train simulator for the HTC Vive and Oculus Rift with Touch,https://selkcip.itch.io/locomancer,"Windows, Linux",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Void Wisp,D. W. O'Boyle,Ambient Arcade Runner,https://dwoboyle.itch.io/void-wisp,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Lacrymo Tennis 2016 (+ 2018),Les Jeux d'la Tête,No one does bourgeois revolution quite like the French.,https://les-jeux-dla-tete.itch.io/lacrymo-tennis-2016,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Empyrean Frontier,GaldorStudios,Singleplayer RTS game with procedural campaign,https://galdorstudios.itch.io/empyrean-frontier,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Hope's Peak,KalleMacD,A mystery told five paragraphs at a time.,https://kallemacd.itch.io/hopes-peak,"Windows, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
盆栽 カレンダー (BONSAI CALENDAR),Josh Benavente,A piece of software that helps one take good care of his/her bonsai tree.,https://soapod.itch.io/bonsai-calendar,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Loot Rascals,Hollow Ponds,"A TALE OF FRIENDSHIP, LOSS AND REDEMPTION... IN OUTER SPACE!",https://hollowponds.itch.io/lootrascals/download/6strsK9JzuQ2FB8mmuIHbssv3FpaTfWIKZStlvrj,Windows,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
This World Unknown,ebi-hime,"Long fantasy otome VN about dating cute guys, plus monster girls.",https://ebihime.itch.io/this-world-unknown,"Windows, Linux, macOS",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Low Poly Auto Racing Car Pack - Devils Work.shop,DevilsWork.shop,"Royalty free 3D Game Assets for Commercial, and Non-Commercial Use.",https://devilsworkshop.itch.io/low-poly-auto-racing-car-pack,"Windows, Linux, macOS, Android",3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
Karambola,Holy Pangolin,Lonely fruits and veggies with emotional problems need your help in this short point and click puzzle/adventure.,https://holypangolin.itch.io/karambola,Android,3,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=3
The Fall of Lazarus,No Wand Studios,A first person exploration science fiction mystery game. Fathom all the story exploring an abandoned cargo spaceship.,https://no-wand-studios.itch.io/the-fall-of-lazarus,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Blind Men,Man-Eater Games,A boys' love visual novel about a supervillain and the spies that try to stop him.,https://maneatergames.itch.io/blind-men,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Beglitched,Hexecutable,a Cyberpink Adventure,https://hexecutable.itch.io/beglitched/download/1bWytFz2LxMz9l1JQq69ntc_maJMr_z2eeogJwFz,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Metori,Fractured Mind,"An arcade game like early classics, with modern updates",https://fracturedminddev.itch.io/metori,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Stealth Fishing,William Baldwin,Arcade bullet hell with fishing action!,https://campa.itch.io/stealth-fishing,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Joggernauts,Space Mace,Deviously cooperative runner/puzzle platformer for 1-4 players.,https://spacemace.itch.io/joggernauts,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Cube Rampage,Kronbits,Hit the cube to get all the items on the levels,https://kronbits.itch.io/cube-rampage,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Pixel Fireplace,Ted Martens,Roast marshmallows and throw fresh logs onto the fire. Type words to interact. Sit back and enjoy.,https://hammertail.itch.io/pixel-fireplace,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Pixel Session Vol.1,"Rémy ""Trasevol_Dog"" Devaux",Five Short Experimental Games,https://trasevol-dog.itch.io/pixel-session-vol1,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Night in the Woods,Finji,"At the end of everything, hold onto anything.",https://finji.itch.io/night-in-the-woods,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Graveyard Shift,Ahmet Kamil Keleş,Spooky & cute FPS!,https://aslangames.itch.io/graveyard-shift,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
[HammerA] HammerTime !,K.hermann,[HammerA] HammerTime ! is an short interactive 2d anime game !,https://airman4.itch.io/hammertime,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Idioctopus,BadgerHammer,Guide brainless lovestruck octopus couples safely to their romantic rendezvous in increasingly deadly date spots.,https://badgerhammer.itch.io/idioctopus,"Windows, Linux, macOS, Android",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Bleed,BootdiskRevolution,"Air-dodge, slow-time and blast baddies in this twin-skick action-platformer!",https://bootdiskrevolution.itch.io/bleed,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Cosmic Rochambo,dean_sick,Ram people... in spaaaaace,https://dean-sick.itch.io/cosmic-rochambo,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Semblance,Nyamakop,Your character and the world it inhabits is made of playdough,https://nyamakop.itch.io/semblance,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Keep It Together,Fenreliania,Don't let them know you're a coat of rats!,https://fenreliania.itch.io/keep-it-together,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Essential Pool Billiards Table Asset Pack - VR/AR,DevilsWork.shop,"Royalty free 3D Assets for Virtual Reality (VR/AR) Games. For Commercial, and Non-Commercial Use.",https://devilsworkshop.itch.io/essential-pool-billiards-table-asset-pack,"Windows, Linux, macOS, Android",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Babysitter Bloodbath,Puppet Combo,"A simple night of babysitting turns into an unspeakable nightmare.. VHS era, low poly slasher. PS1 style survival horror",https://puppetcombo.itch.io/babysitter-bloodbath,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Thing-in-Itself,Party for Introverts,“Thing-in-Itself” is an interactive short story about the struggles of understanding another human being.,https://pintroverts.itch.io/thing-in-itself,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Pixel art Forest,edermunizz,Make your own forest!,https://edermunizz.itch.io/pixel-art-forest,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Splinter Zone,MOKKA,Escape Eternal Punishment,https://mokka.itch.io/splinter-zone,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
